0	1
0.1	0.81
0.2	0.64
0.3	0.49
0.4	0.36
0.5	0.25
0.6	0.16
0.7	0.09
0.8	0.04
0.9	0.00999999
1	0
1.1	0.00999999
1.2	0.0400001
1.3	0.0900002
1.4	0.16
1.5	0.25
1.6	0.36
1.7	0.49
1.8	0.640001
1.9	0.810001
2	1
2.1	1.21
2.2	1.44
2.3	1.69
2.4	1.96
2.5	2.25
2.6	2.56
2.7	2.89
2.8	3.24
2.9	3.61
3	4
3.1	4.41
3.2	4.84
3.3	5.29
3.4	5.75999
3.5	6.24999
3.6	6.75999
3.7	7.28999
3.8	7.83999
3.9	8.40999
4	8.99999
4.1	9.60999
4.2	10.24
4.3	10.89
4.4	11.56
4.5	12.25
4.6	12.96
4.7	13.69
4.8	14.44
4.9	15.21
5	16
5.1	16.81
5.2	17.64
5.3	18.49
5.4	19.36
5.5	20.25
5.6	21.16
5.7	22.09
5.8	23.04
5.9	24.01
6	25
6.1	26.01
6.2	27.04
6.3	28.09
6.4	29.16
6.5	30.25
6.6	31.36
6.7	32.49
6.8	33.64
6.9	34.81
7	35.9999
7.1	37.2099
7.2	38.4399
7.3	39.6899
7.4	40.9599
7.5	42.2499
7.6	43.5599
7.7	44.8899
7.79999	46.2399
7.89999	47.6099
7.99999	48.9999
8.09999	50.4099
8.2	51.8399
8.3	53.2899
8.4	54.7599
8.5	56.2499
8.6	57.7599
8.7	59.29
8.8	60.84
8.9	62.41
9	64
9.1	65.61
9.2	67.24
9.3	68.89
9.4	70.56
9.5	72.25
9.6	73.96
9.7	75.69
9.8	77.44
9.9	79.21
10	81
