Time,X,Y,Z
8.10009,496.027,496.027,84.1802
8.11009,496.64,496.64,83.8851
8.12009,497.252,497.252,83.5891
8.13009,497.864,497.864,83.292
8.14009,498.477,498.477,82.9939
8.15009,499.089,499.089,82.6949
8.16009,499.702,499.702,82.3949
8.17009,500.314,500.314,82.0938
8.18009,500.926,500.926,81.7918
8.19009,501.539,501.539,81.4889
8.20009,502.151,502.151,81.1849
8.21009,502.764,502.763,80.88
8.22009,503.376,503.376,80.5741
8.23009,503.988,503.988,80.2672
8.24009,504.601,504.601,79.9594
8.25009,505.213,505.213,79.6505
8.26009,505.825,505.825,79.3406
8.27009,506.438,506.438,79.0299
8.28009,507.05,507.05,78.718
8.29009,507.663,507.663,78.4053
8.30009,508.275,508.275,78.0915
8.31009,508.887,508.887,77.7768
8.3201,509.5,509.5,77.4611
8.3301,510.112,510.112,77.1444
8.3401,510.725,510.724,76.8267
8.3501,511.337,511.337,76.508
